category,img,lines,url
LOVE,https://assets.passiton.com/quotes/quote_artwork/7969/medium/20220824_wednesday_quote.jpg,I believe in the spirit of equality and the spirit of this country as one of love and compassion and kindness. #<Author:0x000056225616be20>,/inspirational-quotes/8351-the-biggest-adventure-you-can-take-is-to-live
LOVE,https://assets.passiton.com/quotes/quote_artwork/6459/medium/20220823_tuesday_quote.jpg,"We lose ourselves in the things we love. We find ourselves there, too. #<Author:0x00005622561ed9c0>",/inspirational-quotes/7673-education-breeds-confidence
LOVE,https://assets.passiton.com/quotes/quote_artwork/7692/medium/20220822_monday_quote.jpg,"You yourself, as much as anybody in the entire universe deserve your love and affection. #<Author:0x00005622561d5618>",/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8356/medium/20220819_friday_quote.jpg,You have the capability to change your life all with a simple shift in perspective. #<Author:0x00005622561bccd0>,/inspirational-quotes/8357-every-breath-we-take-every-step-we-make-can
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8355/medium/20220818_thursday_quote.jpg,The smallest change in perspective can transform a life. What tiny attitude adjustment might turn your world around? #<Author:0x000056225622dea8>,/inspirational-quotes/8356-you-have-the-capability-to-change-your-life-all
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/6441/medium/20220817_wednesday_quote.jpg,"It's not what you look at that matters, it's what you see.  #<Author:0x0000562256207578>",/inspirational-quotes/5990-do-your-little-bit-of-good-where-you-are-its
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8354/medium/20220816_tuesday_quote.jpg,"Wisdom is your perspective on life, your sense of balance, your understanding of how the various parts and principles apply and relate to each other. #<Author:0x0000562256275190>",/inspirational-quotes/6128-may-love-and-laughter-light-your-days-and-warm
PERSPECTIVE,https://assets.passiton.com/quotes/quote_artwork/8353/medium/20220815_monday_quote.jpg,The best ideas emerge when very different perspectives meet. #<Author:0x000056225625c640>,/inspirational-quotes/7748-happiness-and-confidence-are-the-prettiest
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/8351/medium/20220812_friday_quote.jpg,The biggest adventure you can take is to live the life of your dreams. #<Author:0x00005622562beea8>,/inspirational-quotes/7969-i-believe-in-the-spirit-of-equality-and-the
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/4171/medium/20220811_thursday_quote.jpg,Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover. #<Author:0x000056225629d500>,/inspirational-quotes/8355-the-smallest-change-in-perspective-can
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/6906/medium/20220810_wednesday_quote.jpg,"Don't be pushed by your problems, be led by your dreams. #<Author:0x00005622562855e0>",/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/7827/medium/20220809_tuesday_quote.jpg,"Although time seems to fly by, it never travels faster than one day at a time. Each day is a new opportunity to live your life to the fullest. #<Author:0x000056225630c108>",/inspirational-quotes/8177-when-we-create-peace-and-harmony-and-balance-in
LIVE YOUR DREAMS,https://assets.passiton.com/quotes/quote_artwork/7065/medium/20220808_monday_quote.jpg,Every great dream begins with a dreamer. #<Author:0x00005622562d5108>,/inspirational-quotes/6900-let-us-see-what-love-can-do
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/6508/medium/20220805_friday_quote.jpg,"Confidence comes not from always being right, but from not fearing to be wrong. #<Author:0x00005622563578b0>",/inspirational-quotes/7065-every-great-dream-begins-with-a-dreamer
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7587/medium/20220804_thursday_quote.jpg,"Each time we face our fear, we gain strength, courage and confidence in the doing. #<Author:0x000056225633c4e8>",/inspirational-quotes/7583-peace-begins-with-a-smile
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7748/medium/20220803_wednesday_quote.jpg,Happiness and confidence are the prettiest things you can wear. #<Author:0x00005622563a76a8>,/inspirational-quotes/6459-we-lose-ourselves-in-the-things-we-love-we
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7673/medium/20220802_tuesday_quote.jpg,Education breeds confidence. #<Author:0x000056225638d190>,/inspirational-quotes/6906-dont-be-pushed-by-your-problems-be-led-by-your
CONFIDENCE,https://assets.passiton.com/quotes/quote_artwork/7921/medium/20220801_monday_quote.jpg,Be humble in your confidence yet courageous in your character. #<Author:0x0000562256374820>,/inspirational-quotes/7827-although-time-seems-to-fly-by-it-never-travels
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/5990/medium/20220729_friday_quote.jpg,Do your little bit of good where you are; its those little bits of good put together that overwhelm the world. #<Author:0x00005622563dc0d8>,/inspirational-quotes/7429-peace-like-charity-begins-at-home
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/7491/medium/20220728_thursday_quote.jpg,"A single act of kindness throws out roots in all directions, and the roots spring up and make new trees. #<Author:0x00005622563b7288>",/inspirational-quotes/8354-wisdom-is-your-perspective-on-life-your-sense
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/4471/medium/20220727_wednesday_quote.jpg,We rise by lifting others. #<Author:0x0000562256434dc8>,/inspirational-quotes/6258-a-smile-is-a-curve-that-sets-everything-straight
KINDNESS,https://assets.passiton.com/quotes/quote_artwork/8014/medium/20220726_tuesday_quote.jpg,"To achieve a kinder world, we must approach kindness with ambition and dedication. We must practice it in every moment of our lives. Kindness is that important. #<Author:0x0000562256407468>",/inspirational-quotes/7905-just-one-smile-immensely-increases-the-beauty
